Lemma_automatisch,Lemma_awb,Flexion,Komplexität,Mhd. Lemma,mhd_Flexion,Nhd. ÜS,Token,Kasus_token,Numerus_token,Texttyp,Edition,Handschrifteninfo_in_Klammern,Fragen
afterthinsan,afterthinsan,,,,,,,,,,,,Kein Formen-Block gefunden - vermutlich Verweis-Eintrag. Volltext: afterthinsan s. after-thinsan st. v.
aftereif,aftereif,,simplex,,,,,,,,,,Kein Formen-Block gefunden - vermutlich Verweis-Eintrag. Volltext: aftereif s. afterreif st. m.
aftererbo,aftererbo,sw. m.,simplex,,,"aftererbe. — Graff I, 407.",,,,Glosse,"Gl 3,67,21",,
aftererbo,aftererbo,sw. m.,simplex,,,"aftererbe. — Graff I, 407.",,,,Glosse,"Gl 3,218,30","-ts-, B",
aftererbo,aftererbo,sw. m.,simplex,,,"aftererbe. — Graff I, 407.",,,,Glosse,"Gl 3,67,21",,
aftererbo,aftererbo,sw. m.,simplex,,,"aftererbe. — Graff I, 407.",,,,Glosse,"Gl 3,176,39",B,
aftererbo,aftererbo,sw. m.,simplex,,,"aftererbe. — Graff I, 407.",,,,Glosse,"Gl 3,67,22",,
aftererbo,aftererbo,sw. m.,simplex,,,"aftererbe. — Graff I, 407.",,,,Glosse,"Gl 3,67,23","Darmst. 6, 13. Jh.",
afterfogat,afterfogat,st. m.,,aftervoget,,aftervogt,,,,Glosse,"Gl 3,378,22",Jd,
afterfolgên,afterfolgên,,,,,,,,,,,,Kein Formen-Block gefunden - vermutlich Verweis-Eintrag. Volltext: afterfolgên s. after-folgên sw. v.
aftergang,aftergang,st. m.,simplex,,,,,,,Glosse,"Gl 1,586,17",Ja,
aftergrâv(i)o,aftergrâv(i)o,sw. m.,,,,,,,,Glosse,"Gl 3,378,18",Jd,
aftergreue,aftergreue,,,,,,,,,,,,Kein Formen-Block gefunden - vermutlich Verweis-Eintrag. Volltext: aftergreue s. aftergrâv(i)o sw. m.
afterhemidi,afterhemidi,st. n.,,,,,,,,Glosse,"Gl 3,191,16",SH B,
afterhemidi,afterhemidi,st. n.,,,,,,,,Glosse,"Gl 3,151,10",,
afterhemidi,afterhemidi,st. n.,,,,,,,,Glosse,"Gl 3,191,15",SH B,
afterherbe,afterherbe,,,,,,,,,,,,Kein Formen-Block gefunden - vermutlich Verweis-Eintrag. Volltext: afterherbe s. aftererbo sw. m.
after-hl-,after-hl-,,,,,,,,,,,,Kein Formen-Block gefunden - vermutlich Verweis-Eintrag. Volltext: after-hl- = after-l-.
afterhlaibo,afterhlaibo,,,,,,,,,,,,"Kein Formen-Block gefunden - vermutlich Verweis-Eintrag. Volltext: afterhlaibo Gl 1,233,35 s. afterleibo sw. m."
after-hn-,after-hn-,,,,,,,,,,,,Kein Formen-Block gefunden - vermutlich Verweis-Eintrag. Volltext: after-hn- = after-n-.
after-hr-,after-hr-,,,,,,,,,,,,Kein Formen-Block gefunden - vermutlich Verweis-Eintrag. Volltext: after-hr- = after-r-.
afteristo,afteristo,,simplex,,,,,,,,,,Kein Formen-Block gefunden - vermutlich Verweis-Eintrag. Volltext: afteristo s. aftrôsto adj. superl.
